time,open,high,low,close,unknown1,unknown2,unknown3,unknown4
2024-11-15 11:12:00,3089.59,3089.59,3086.86,3089.14,83.734467,258565.8057705,258565.8057705,1
2024-11-15 11:13:00,3089.22,3089.76,3083.95,3085.41,228.090775,703814.2404856,703814.2404856,1
2024-11-15 11:14:00,3085.26,3089.14,3084.82,3089.05,86.322341,266511.07377868,266511.07377868,1
2024-11-15 11:15:00,3089.01,3091.4,3088.81,3090.48,29.925768,92473.18118035,92473.18118035,1
2024-11-15 11:16:00,3090.48,3091.67,3089.15,3090.38,48.032271,148423.41847788,148423.41847788,1
2024-11-15 11:17:00,3090.39,3093.77,3090.39,3092.57,63.136738,195244.02675494,195244.02675494,1
2024-11-15 11:18:00,3092.59,3093.18,3090.02,3092.55,93.821412,290114.03387044,290114.03387044,1
2024-11-15 11:19:00,3092.36,3093.59,3090.67,3090.67,20.742904,64141.65384609,64141.65384609,1
2024-11-15 11:20:00,3090.67,3093.08,3090.67,3091.66,22.316605,69007.18589786,69007.18589786,1
2024-11-15 11:21:00,3091.66,3091.66,3088.74,3090.7,46.039204,142280.3368515,142280.3368515,1
2024-11-15 11:22:00,3090.7,3091.76,3089.61,3091.76,13.495222,41704.75204145,41704.75204145,1
2024-11-15 11:23:00,3091.58,3092.49,3090.66,3090.97,13.758945,42533.40420697,42533.40420697,1
2024-11-15 11:24:00,3091.15,3093.98,3091.15,3092.53,67.759012,209564.53740955,209564.53740955,1
2024-11-15 11:25:00,3092.53,3092.72,3089.01,3089.01,51.561644,159399.39909037,159399.39909037,1
2024-11-15 11:26:00,3089.02,3089.48,3087.26,3087.26,229.069367,707533.4962971,707533.4962971,1
2024-11-15 11:27:00,3087.44,3090.39,3086.66,3089.76,42.590191,131505.38295847,131505.38295847,1
2024-11-15 11:28:00,3089.99,3091.41,3089.54,3090.97,31.106102,96130.39660352,96130.39660352,1
2024-11-15 11:29:00,3090.84,3093.33,3090.84,3093.33,16.297184,50382.19980812,50382.19980812,1
2024-11-15 11:30:00,3093.32,3096.66,3092.0,3095.79,145.067791,448938.40637937,448938.40637937,1
2024-11-15 11:31:00,3095.79,3095.79,3092.85,3094.5,46.951894,145278.77449391,145278.77449391,1
2024-11-15 11:32:00,3094.59,3094.9,3093.13,3093.66,59.671064,184600.0133898,184600.0133898,1
2024-11-15 11:33:00,3093.63,3095.0,3093.14,3095.0,16.952956,52449.09764819,52449.09764819,1
2024-11-15 11:34:00,3095.0,3096.45,3094.19,3096.45,13.72002,42469.03159303,42469.03159303,1
2024-11-15 11:35:00,3096.59,3098.31,3096.56,3097.66,23.224671,71937.69990168,71937.69990168,1
2024-11-15 11:36:00,3097.66,3100.7,3097.66,3100.35,73.81017,228770.67648146,228770.67648146,1
2024-11-15 11:37:00,3100.42,3103.67,3099.76,3103.0,40.352435,125168.70846969,125168.70846969,1
2024-11-15 11:38:00,3102.96,3105.51,3102.96,3104.2,125.848498,390699.35561623,390699.35561623,1
