time,open,high,low,close,volumn
2024-09-28 01:20:00,2695.35,2695.35,2693.85,2694.04,
2024-09-28 01:21:00,2694.04,2694.43,2693.28,2693.66,
2024-09-28 01:22:00,2693.66,2693.66,2692.78,2693.66,
2024-09-28 01:23:00,2693.66,2695.74,2693.54,2695.74,
2024-09-28 01:24:00,2695.74,2696.7,2695.74,2696.3,
2024-09-28 01:25:00,2696.3,2696.3,2695.09,2695.79,
2024-09-28 01:26:00,2695.79,2695.79,2694.61,2695.12,
2024-09-28 01:27:00,2695.12,2696.51,2694.97,2696.14,
2024-09-28 01:28:00,2696.14,2696.14,2695.38,2695.6,
2024-09-28 01:29:00,2695.6,2695.8,2695.24,2695.52,
2024-09-28 01:30:00,2695.52,2695.6,2693.51,2693.51,
2024-09-28 01:31:00,2693.51,2694.64,2693.41,2694.18,
2024-09-28 01:32:00,2694.18,2695.01,2694.03,2694.03,
2024-09-28 01:33:00,2694.03,2695.06,2693.15,2693.7,
2024-09-28 01:34:00,2693.7,2695.19,2693.61,2695.19,
2024-09-28 01:35:00,2695.19,2696.11,2695.19,2695.92,
2024-09-28 01:36:00,2695.92,2696.13,2693.9,2693.9,
2024-09-28 01:37:00,2693.9,2693.9,2693.02,2693.54,
2024-09-28 01:38:00,2693.54,2693.65,2693.01,2693.6,
2024-09-28 01:39:00,2693.6,2695.19,2693.6,2694.82,
2024-09-28 01:40:00,2694.82,2695.2,2694.07,2694.63,
2024-09-28 01:41:00,2694.63,2695.4,2694.45,2695.39,
2024-09-28 01:42:00,2695.39,2695.39,2694.9,2694.91,
2024-09-28 01:43:00,2694.91,2694.91,2694.07,2694.31,
2024-09-28 01:44:00,2694.31,2694.31,2694.06,2694.07,
2024-09-28 01:45:00,2694.07,2694.07,2693.46,2693.61,
2024-09-28 01:46:00,2693.61,2693.8,2692.55,2692.64,
2024-09-28 01:47:00,2692.64,2692.7,2691.44,2692.0,
2024-09-28 01:48:00,2692.0,2693.16,2691.71,2692.72,
2024-09-28 01:49:00,2692.72,2692.82,2692.01,2692.63,
2024-09-28 01:50:00,2692.63,2694.05,2692.62,2693.55,
2024-09-28 01:51:00,2693.55,2694.05,2692.23,2694.05,
2024-09-28 01:52:00,2694.05,2695.5,2694.05,2695.12,
