time,open,high,low,close,volume,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2024-11-23 14:20:00,0.46651,0.46711,0.46564,0.46573,9190993,1732371659999,4287306.2485,4793,5596571,2610706.09566,0
2024-11-23 14:21:00,0.46573,0.46587,0.465,0.465,5833677,1732371719999,2715039.17492,4202,3122883,1453453.19095,0
2024-11-23 14:22:00,0.46501,0.46539,0.464,0.4649,18466074,1732371779999,8579718.98996,9330,7092720,3295543.9255,0
2024-11-23 14:23:00,0.4649,0.46588,0.46472,0.46588,8546049,1732371839999,3975063.64022,5330,5364658,2495428.75409,0
2024-11-23 14:24:00,0.46587,0.4664,0.46438,0.46446,12762125,1732371899999,5938777.06146,6292,4840359,2252724.267,0
2024-11-23 14:25:00,0.46446,0.46469,0.46249,0.46411,26668495,1732371959999,12364595.90731,12042,10053766,4663471.63925,0
2024-11-23 14:26:00,0.46411,0.465,0.46322,0.46468,11707592,1732372019999,5432602.04868,6068,6324814,2935470.98564,0
2024-11-23 14:27:00,0.46468,0.46519,0.46352,0.4636,9857598,1732372079999,4578044.27729,5564,3505853,1628293.57828,0
2024-11-23 14:28:00,0.46358,0.46442,0.46283,0.46303,12730476,1732372139999,5899805.49283,6021,6033366,2796878.75857,0
2024-11-23 14:29:00,0.46298,0.46324,0.461,0.46229,42930230,1732372199999,19828415.08759,19092,18646810,8613354.87782,0
2024-11-23 14:30:00,0.46229,0.46276,0.46156,0.46265,14817162,1732372259999,6847694.51969,7630,7816039,3612025.09091,0
2024-11-23 14:31:00,0.46264,0.46391,0.46244,0.46347,11432307,1732372319999,5297506.09032,6789,6973400,3231230.4686,0
2024-11-23 14:32:00,0.46347,0.46411,0.46328,0.46401,7064768,1732372379999,3276435.88051,4306,3728847,1729475.37054,0
2024-11-23 14:33:00,0.46401,0.46523,0.46398,0.46505,9430671,1732372439999,4382577.24037,6124,6322507,2938172.26782,0
2024-11-23 14:34:00,0.46503,0.4652,0.46425,0.46431,5546583,1732372499999,2577546.47802,3889,2505195,1164349.12689,0
2024-11-23 14:35:00,0.46432,0.46491,0.46431,0.4649,5966836,1732372559999,2772002.36141,3180,3915717,1819142.08927,0
2024-11-23 14:36:00,0.46491,0.4651,0.46451,0.46463,6041926,1732372619999,2808312.20451,3461,2857366,1328208.02461,0
2024-11-23 14:37:00,0.46462,0.46548,0.4645,0.46531,7742181,1732372679999,3600370.05028,4828,5182078,2410018.4207,0
2024-11-23 14:38:00,0.46532,0.46555,0.46376,0.46433,11185894,1732372739999,5196632.06699,5165,3912563,1818409.75073,0
2024-11-23 14:39:00,0.46433,0.46457,0.46396,0.46429,3923715,1732372799999,1821839.13568,2744,1502387,697617.04299,0
2024-11-23 14:40:00,0.46429,0.46513,0.464,0.46447,6493932,1732372859999,3016894.74043,3706,3370753,1565844.18735,0
2024-11-23 14:41:00,0.46448,0.46574,0.4644,0.46552,6913606,1732372919999,3216872.98788,4822,4556670,2120026.22152,0
2024-11-23 14:42:00,0.46553,0.46582,0.46503,0.46539,5888232,1732372979999,2740876.08134,3806,3431917,1597459.03222,0
2024-11-23 14:43:00,0.46539,0.46571,0.46508,0.46524,6086334,1732373039999,2832804.4887,3584,3690748,1717961.12184,0
2024-11-23 14:44:00,0.46525,0.46599,0.46525,0.46591,4667369,1732373099999,2173741.49032,3105,2511138,1169527.07159,0
2024-11-23 14:45:00,0.46591,0.46607,0.46482,0.46501,5776466,1732373159999,2688562.04485,2855,1860680,866360.33816,0
2024-11-23 14:46:00,0.46502,0.46553,0.46482,0.46547,5102549,1732373219999,2373658.49345,2883,3026323,1407877.50363,0
2024-11-23 14:47:00,0.46547,0.46571,0.46456,0.46473,3367075,1732373279999,1566109.13534,2814,1453724,676271.84112,0
2024-11-23 14:48:00,0.46474,0.46475,0.46364,0.46394,5262073,1732373339999,2442047.54983,3737,1832741,850649.41472,0
2024-11-23 14:49:00,0.46394,0.46523,0.46388,0.46502,4483692,1732373399999,2083879.99262,3070,3167286,1472015.78381,0
2024-11-23 14:50:00,0.46502,0.46634,0.46502,0.46616,5491255,1732373459999,2557056.45695,4364,2885106,1343616.38583,0
2024-11-23 14:51:00,0.46615,0.46666,0.46542,0.46659,10460982,1732373519999,4878142.22983,5130,5291176,2467802.6275,0
2024-11-23 14:52:00,0.46658,0.46715,0.46612,0.46681,9207587,1732373579999,4298456.66118,4269,5319003,2483121.72466,0
2024-11-23 14:53:00,0.46682,0.46682,0.46622,0.46625,5834844,1732373639999,2722414.44188,2916,3392715,1583048.71902,0
2024-11-23 14:54:00,0.46625,0.46625,0.46572,0.46573,5746365,1732373699999,2677680.75412,2686,3822653,1781283.65493,0
2024-11-23 14:55:00,0.46572,0.46584,0.4652,0.46581,3548835,1732373759999,1652291.71853,2578,1870804,871089.72949,0
2024-11-23 14:56:00,0.46581,0.46584,0.46535,0.46574,2629415,1732373819999,1224362.78512,1736,1324506,616742.14131,0
2024-11-23 14:57:00,0.46573,0.466,0.46555,0.46587,2431844,1732373879999,1132785.64075,1738,1298261,604748.83588,0
2024-11-23 14:58:00,0.46587,0.46644,0.46587,0.46622,5025653,1732373939999,2343312.36312,2052,3524624,1643449.46357,0
2024-11-23 14:59:00,0.46622,0.46646,0.46618,0.46629,3253750,1732373999999,1517257.86074,1642,1941921,905517.98492,0
2024-11-23 15:00:00,0.46628,0.46635,0.4658,0.46581,5231040,1732374059999,2438190.7748,2142,1958627,913047.15322,0
2024-11-23 15:01:00,0.4658,0.46611,0.46491,0.46611,7981359,1732374119999,3714854.2033,3921,3151927,1467239.84289,0
2024-11-23 15:02:00,0.46611,0.46614,0.46556,0.46574,4335872,1732374179999,2019811.65802,2329,2107356,981689.60533,0
2024-11-23 15:03:00,0.46573,0.46573,0.46413,0.4647,7658699,1732374239999,3559953.81963,4463,3104703,1443069.13967,0
2024-11-23 15:04:00,0.4647,0.46511,0.46442,0.46443,6541344,1732374299999,3040067.45406,3103,3660850,1701558.68896,0
2024-11-23 15:05:00,0.46443,0.46512,0.46398,0.4648,4857446,1732374359999,2256488.29175,3172,2621691,1217994.50871,0
2024-11-23 15:06:00,0.4648,0.46536,0.46437,0.46448,7148315,1732374419999,3323608.97107,3446,3255420,1513579.63701,0
2024-11-23 15:07:00,0.46448,0.46448,0.46163,0.46259,16466816,1732374479999,7625351.78058,8987,4668388,2161348.46113,0
2024-11-23 15:08:00,0.4626,0.4628,0.46162,0.46182,11308164,1732374539999,5226294.99045,5623,5960982,2755427.2193,0
2024-11-23 15:09:00,0.46179,0.46222,0.461,0.46132,17904785,1732374599999,8266154.42559,7516,6037676,2788396.87294,0
2024-11-23 15:10:00,0.46127,0.46146,0.45878,0.46057,52827259,1732374659999,24306433.19127,20545,17123882,7880931.63516,0
2024-11-23 15:11:00,0.4606,0.46127,0.46027,0.46093,13181849,1732374719999,6074793.26746,6229,6564633,3025444.01336,0
2024-11-23 15:12:00,0.46093,0.46099,0.45975,0.46005,16540736,1732374779999,7614088.0816,7435,5056244,2327638.45637,0
2024-11-23 15:13:00,0.46005,0.46103,0.45989,0.46083,12098641,1732374839999,5570559.17743,6116,5234024,2409597.66716,0
2024-11-23 15:14:00,0.46083,0.46127,0.45977,0.45988,7706817,1732374899999,3547600.15944,4868,3249407,1496018.39313,0
2024-11-23 15:15:00,0.45988,0.46014,0.45839,0.45956,40387273,1732374959999,18541259.09808,14735,14070830,6461029.53317,0
2024-11-23 15:16:00,0.45956,0.46053,0.45926,0.46047,15197233,1732375019999,6988708.18658,7256,7693718,3538302.89144,0
2024-11-23 15:17:00,0.46048,0.46107,0.4603,0.461,11576337,1732375079999,5333503.03804,6133,6518757,3003478.17659,0
2024-11-23 15:18:00,0.461,0.46115,0.46019,0.4608,7274344,1732375139999,3351178.25518,4497,3929730,1810430.15056,0
2024-11-23 15:19:00,0.4608,0.46084,0.45986,0.46019,8108752,1732375199999,3732523.86725,3839,3809709,1753705.64768,0
2024-11-23 15:20:00,0.4602,0.46116,0.46007,0.46075,8475761,1732375259999,3903704.94738,4670,3764723,1734226.26458,0
2024-11-23 15:21:00,0.46076,0.4623,0.46038,0.4618,12843167,1732375319999,5925838.19009,6138,8769882,4046790.91954,0
2024-11-23 15:22:00,0.46181,0.46246,0.46141,0.46148,12598426,1732375379999,5821018.72845,5845,7292746,3369985.4928,0
2024-11-23 15:23:00,0.46147,0.46166,0.46102,0.46153,4350707,1732375439999,2007109.37948,3420,1661247,766407.18545,0
2024-11-23 15:24:00,0.46154,0.46223,0.46116,0.46213,4448373,1732375499999,2054288.30906,2720,2502880,1155880.20184,0
2024-11-23 15:25:00,0.46212,0.4624,0.46141,0.46239,8341758,1732375559999,3853550.43328,3641,5351501,2472334.22138,0
2024-11-23 15:26:00,0.46239,0.46366,0.46194,0.46301,15297452,1732375619999,7078171.92341,5788,11849741,5483888.82299,0
2024-11-23 15:27:00,0.46301,0.46301,0.46203,0.46248,9346084,1732375679999,4322824.37367,4249,3000888,1388017.54878,0
2024-11-23 15:28:00,0.46248,0.46259,0.46172,0.46222,9343412,1732375739999,4318130.00614,4322,3349552,1548240.39589,0
2024-11-23 15:29:00,0.46217,0.46237,0.46198,0.46234,2701476,1732375799999,1248644.74711,2377,1065493,492501.00719,0
2024-11-23 15:30:00,0.46234,0.46394,0.46217,0.46362,7852022,1732375859999,3637397.47254,4686,4548710,2107220.68126,0
2024-11-23 15:31:00,0.46361,0.46385,0.46288,0.46309,7779203,1732375919999,3604409.74196,4068,2814062,1303732.30236,0
2024-11-23 15:32:00,0.46309,0.46333,0.46223,0.46287,5664927,1732375979999,2621828.21141,3674,2880565,1333172.78314,0
2024-11-23 15:33:00,0.46287,0.46287,0.46133,0.46148,10454912,1732376039999,4831270.0806,5204,4734258,2188234.91893,0
2024-11-23 15:34:00,0.46149,0.46253,0.46149,0.46225,4317022,1732376099999,1994471.16595,3044,2308510,1066476.37616,0
2024-11-23 15:35:00,0.46224,0.46232,0.46051,0.46097,10062173,1732376159999,4640739.55745,4603,3429730,1581720.75392,0
2024-11-23 15:36:00,0.46097,0.46199,0.46033,0.46197,5611780,1732376219999,2586840.75145,3561,2849300,1313720.95728,0
2024-11-23 15:37:00,0.46196,0.4629,0.46168,0.4629,5377816,1732376279999,2485492.5641,3607,3423034,1582148.29464,0
2024-11-23 15:38:00,0.46289,0.46379,0.46289,0.46377,5579747,1732376339999,2584759.91927,3323,2938009,1361151.26926,0
2024-11-23 15:39:00,0.46377,0.46377,0.46218,0.46219,5825108,1732376399999,2696785.43509,3624,2158179,998963.63193,0
2024-11-23 15:40:00,0.46218,0.46269,0.46169,0.46175,4996343,1732376459999,2310212.54964,3512,1843162,852213.53521,0
2024-11-23 15:41:00,0.4617,0.46213,0.46083,0.46103,5943401,1732376519999,2742659.36373,3938,2031407,937487.42684,0
2024-11-23 15:42:00,0.46102,0.46148,0.4595,0.45973,17381807,1732376579999,8000382.90508,7145,4687763,2157570.07448,0
2024-11-23 15:43:00,0.45973,0.46074,0.45973,0.46012,5992274,1732376639999,2757917.72538,3428,3528008,1623651.72862,0
2024-11-23 15:44:00,0.46013,0.4604,0.45903,0.4593,9068168,1732376699999,4167239.00624,4719,3063432,1407734.37755,0
2024-11-23 15:45:00,0.4593,0.46072,0.45927,0.46012,9454346,1732376759999,4350133.22408,4428,5597936,2576078.43114,0
2024-11-23 15:46:00,0.46012,0.46012,0.4572,0.45818,29587539,1732376819999,13556749.65867,12826,10083796,4620688.75768,0
2024-11-23 15:47:00,0.45818,0.45893,0.4567,0.45764,27103335,1732376879999,12398661.23705,12399,13379509,6122279.16351,0
2024-11-23 15:48:00,0.45765,0.4579,0.45579,0.45704,26265400,1732376939999,11994860.1051,10314,7800138,3563802.89402,0
2024-11-23 15:49:00,0.45703,0.4586,0.4557,0.45847,20882633,1732376999999,9548108.39473,11175,9232873,4224589.87407,0
2024-11-23 15:50:00,0.45847,0.45899,0.45781,0.4583,14253066,1732377059999,6532723.83329,4775,8455221,3875430.97544,0
2024-11-23 15:51:00,0.45831,0.45954,0.4583,0.45951,12676159,1732377119999,5819538.71513,5047,9097237,4176271.58363,0
2024-11-23 15:52:00,0.45952,0.45981,0.45924,0.45978,8333954,1732377179999,3829380.88987,3225,3319585,1525487.18022,0
2024-11-23 15:53:00,0.45978,0.4598,0.45927,0.45962,4354745,1732377239999,2001163.93439,2396,1971615,906037.03403,0
2024-11-23 15:54:00,0.45962,0.45962,0.45865,0.45887,8389253,1732377299999,3851240.86745,3819,3651726,1676305.03028,0
2024-11-23 15:55:00,0.45888,0.45888,0.456,0.45632,17990580,1732377359999,8227919.08587,8092,5242443,2398001.57646,0
2024-11-23 15:56:00,0.45633,0.45737,0.45617,0.45668,9485558,1732377419999,4333717.28669,4206,4990758,2280087.58795,0
2024-11-23 15:57:00,0.45668,0.45705,0.45568,0.45581,17789558,1732377479999,8123096.0371,5228,9881426,4513136.51008,0
2024-11-23 15:58:00,0.4558,0.45585,0.455,0.45585,22876508,1732377539999,10419371.57262,8217,7599495,3462183.48491,0
2024-11-23 15:59:00,0.45586,0.45608,0.45492,0.45539,17457421,1732377599999,7950867.03753,5370,5399808,2459403.95871,0
2024-11-23 16:00:00,0.45539,0.45679,0.45535,0.45671,28053662,1732377659999,12807825.50836,6426,20734002,9466490.93057,0
2024-11-23 16:01:00,0.45671,0.45788,0.45667,0.45774,21694338,1732377719999,9921175.83942,7715,15146030,6926203.42279,0
2024-11-23 16:02:00,0.45774,0.45814,0.45701,0.45715,10949383,1732377779999,5010457.63403,5418,4835035,2212754.97344,0
2024-11-23 16:03:00,0.45716,0.45821,0.45655,0.45729,18018899,1732377839999,8243469.86581,6430,7716837,3531259.22133,0
2024-11-23 16:04:00,0.45728,0.45746,0.45632,0.45729,11759533,1732377899999,5372530.63303,5203,4950419,2262149.11992,0
2024-11-23 16:05:00,0.45729,0.458,0.45716,0.45781,7320701,1732377959999,3350423.70985,3708,5074967,2322597.39115,0
