time,open,high,low,close,unknown1,unknown2,unknown3,unknown4
2024-11-15 11:12:00,89331.9,89340.0,89277.1,89335.9,4.20243646,375290.934096112,375290.934096112,1
2024-11-15 11:13:00,89335.9,89347.7,89270.7,89278.0,7.58153878,677111.359509456,677111.359509456,1
2024-11-15 11:14:00,89278.1,89326.8,89276.5,89280.8,5.37990243,480448.571553312,480448.571553312,1
2024-11-15 11:15:00,89280.8,89280.9,89236.0,89249.9,2.47506846,220920.836542544,220920.836542544,1
2024-11-15 11:16:00,89249.9,89268.7,89229.5,89244.1,1.0533207,94003.813618331,94003.813618331,1
2024-11-15 11:17:00,89244.1,89304.5,89244.0,89254.5,1.87570612,167461.967465838,167461.967465838,1
2024-11-15 11:18:00,89253.4,89305.3,89228.5,89305.3,2.88659283,257668.57047007,257668.57047007,1
2024-11-15 11:19:00,89305.3,89367.8,89260.0,89260.1,12.49847972,1116667.124582305,1116667.124582305,1
2024-11-15 11:20:00,89260.0,89319.9,89260.0,89266.3,1.915991,171099.412263885,171099.412263885,1
2024-11-15 11:21:00,89266.2,89297.5,89212.5,89283.0,3.12417651,278825.385325709,278825.385325709,1
2024-11-15 11:22:00,89288.0,89291.9,89248.1,89280.8,0.63286208,56498.694989677,56498.694989677,1
2024-11-15 11:23:00,89280.8,89291.9,89250.1,89261.3,1.43759109,128340.597590842,128340.597590842,1
2024-11-15 11:24:00,89268.0,89312.0,89266.7,89266.7,1.97928391,176734.2369168,176734.2369168,1
2024-11-15 11:25:00,89266.6,89266.6,89164.1,89178.1,10.49092581,935929.879307152,935929.879307152,1
2024-11-15 11:26:00,89178.1,89184.0,89132.2,89140.6,7.45184167,664380.165020391,664380.165020391,1
2024-11-15 11:27:00,89140.7,89183.9,89140.6,89183.9,1.99427772,177826.584858898,177826.584858898,1
2024-11-15 11:28:00,89183.9,89271.8,89176.7,89271.8,1.54907447,138167.590905491,138167.590905491,1
2024-11-15 11:29:00,89271.9,89320.0,89263.5,89308.0,2.22675314,198838.289799423,198838.289799423,1
2024-11-15 11:30:00,89306.9,89430.2,89296.1,89399.2,3.97238318,355047.296871217,355047.296871217,1
2024-11-15 11:31:00,89399.1,89425.8,89361.6,89420.7,2.35323829,210362.638865961,210362.638865961,1
2024-11-15 11:32:00,89418.3,89418.3,89372.2,89415.8,5.27749444,471759.999132952,471759.999132952,1
2024-11-15 11:33:00,89415.7,89429.9,89388.0,89429.9,3.83656254,343022.638686432,343022.638686432,1
2024-11-15 11:34:00,89429.9,89450.0,89428.9,89449.9,5.45037144,487470.629601756,487470.629601756,1
2024-11-15 11:35:00,89450.0,89498.0,89449.9,89468.1,4.59363917,411034.461315863,411034.461315863,1
2024-11-15 11:36:00,89468.1,89512.9,89455.3,89512.5,15.21675221,1361878.211023848,1361878.211023848,1
2024-11-15 11:37:00,89512.6,89558.0,89491.9,89544.9,4.35035245,389497.982735961,389497.982735961,1
2024-11-15 11:38:00,89542.4,89568.0,89535.6,89566.0,4.36177098,390650.236601277,390650.236601277,1
2024-11-15 11:39:00,89560.0,89568.0,89438.6,89458.4,19.09251079,1708645.23132522,1708645.23132522,1
2024-11-15 11:40:00,89458.3,89508.8,89440.5,89508.7,3.20478047,286681.596835587,286681.596835587,1
2024-11-15 11:41:00,89508.8,89517.2,89469.1,89517.2,4.04458858,361997.658021626,361997.658021626,1
2024-11-15 11:42:00,89517.2,89539.9,89472.1,89487.8,1.44230641,129095.622400376,129095.622400376,1
2024-11-15 11:43:00,89490.0,89498.3,89450.0,89450.1,3.05716307,273508.29482973,273508.29482973,1
2024-11-15 11:44:00,89450.0,89455.2,89428.3,89430.0,2.51978119,225376.334697829,225376.334697829,1
