time,open,high,low,close,volume,close_time,transaction_volume,transaction_number,active_buying_volume,active_buying_transaction_volume,ignore
2019-11-27 00:00:00,146.0,155.66,125.03,152.52,115911.84,1574899199999,17460431.9833,13143,53283.61,8058914.3472,0
2019-11-28 00:00:00,154.29,156.52,146.41,150.48,116824.07,1574985599999,17742043.26991,19847,26295.144,3995309.99846,0
2019-11-29 00:00:00,150.56,157.4,150.55,154.41,167906.104,1575071999999,25824932.01289,31539,69723.6,10748626.87265,0
2019-11-30 00:00:00,154.4,155.15,149.66,151.38,370491.615,1575158399999,56539195.08197,44923,135195.907,20639701.07087,0
2019-12-01 00:00:00,151.38,152.5,145.5,150.65,394494.119,1575244799999,58741811.96827,46005,143318.592,21350398.6077,0
2019-12-02 00:00:00,150.72,151.3,146.67,148.59,395630.91,1575331199999,58829106.54673,42498,145520.355,21643396.24206,0
2019-12-03 00:00:00,148.59,149.8,145.62,147.1,495996.573,1575417599999,73434360.19026,47707,226933.611,33599124.62899,0
2019-12-04 00:00:00,147.12,152.22,142.96,145.35,684404.817,1575503999999,100448763.87067,47342,335154.56,49189297.58557,0
2019-12-05 00:00:00,145.36,148.88,143.77,148.04,441113.912,1575590399999,64620018.03792,31714,220098.933,32241169.2879,0
2019-12-06 00:00:00,148.08,149.5,145.66,148.41,334645.217,1575676799999,49359338.35101,32781,168062.635,24794395.67764,0
2019-12-07 00:00:00,148.41,149.42,146.77,147.1,239185.31,1575763199999,35392175.44071,25825,118600.823,17550916.16199,0
2019-12-08 00:00:00,147.08,156.25,146.01,150.41,260610.87,1575849599999,38821520.15034,25401,135162.005,20147950.19243,0
2019-12-09 00:00:00,150.41,151.15,146.55,147.37,296475.449,1575935999999,44161248.94511,26976,142571.841,21243770.64149,0
2019-12-10 00:00:00,147.36,148.39,143.78,145.55,253852.598,1576022399999,37152298.15565,27022,120351.72,17617063.70479,0
2019-12-11 00:00:00,142.83,142.87,142.74,142.76,158.649,1576108799999,22655.78275,33,18.538,2648.0582,0
2019-12-12 00:00:00,143.36,145.8,139.05,144.8,372077.814,1576195199999,53279718.29956,34519,184261.465,26396736.88189,0
2019-12-13 00:00:00,144.8,145.2,143.0,144.7,183068.201,1576281599999,26428341.34049,20860,87282.902,12602643.93674,0
2019-12-14 00:00:00,144.71,144.97,141.05,141.77,187036.667,1576367999999,26688162.93104,18526,83508.19,11915035.41305,0
2019-12-15 00:00:00,141.77,144.0,139.89,142.39,230729.834,1576454399999,32774496.51484,22835,111485.621,15842873.31033,0
2019-12-16 00:00:00,142.46,142.63,128.59,132.59,553596.159,1576540799999,74937085.70597,67884,258497.378,34960147.68911,0
2019-12-17 00:00:00,132.6,132.84,119.1,121.87,613475.54,1576627199999,77808074.34792,73757,296764.742,37655233.65939,0
2019-12-18 00:00:00,121.9,134.75,115.95,132.74,1013697.094,1576713599999,126878213.28292,127648,520545.004,65203964.25795,0
2019-12-19 00:00:00,132.78,133.79,125.66,128.03,637508.534,1576799999999,81427182.50507,75003,319406.269,40793195.37491,0
2019-12-20 00:00:00,128.03,129.33,125.73,128.13,346553.796,1576886399999,44173865.86824,36582,164191.976,20932325.83249,0
2019-12-21 00:00:00,128.13,128.52,126.5,126.99,208331.595,1576972799999,26494884.59958,26490,100017.444,12718927.84297,0
2019-12-22 00:00:00,126.99,133.33,126.78,132.14,443907.086,1577059199999,57782448.27002,46744,225493.471,29358650.02755,0
2019-12-23 00:00:00,132.18,135.09,126.01,127.73,698722.014,1577145599999,91842141.56236,67719,339876.665,44718263.88598,0
2019-12-24 00:00:00,127.75,129.67,126.45,127.76,497534.945,1577231999999,63643418.5604,43791,246675.93,31557252.89345,0
2019-12-25 00:00:00,127.72,127.83,123.0,125.06,455279.225,1577318399999,56922516.85419,41175,219399.642,27429243.5111,0
2019-12-26 00:00:00,125.06,132.44,124.33,125.53,583380.778,1577404799999,74015092.19705,59409,293938.449,37311378.13843,0
2019-12-27 00:00:00,125.53,127.06,122.0,126.21,567887.536,1577491199999,71062171.64403,53297,276495.098,34606388.85456,0
2019-12-28 00:00:00,126.24,129.62,125.77,128.04,468730.855,1577577599999,59832626.86938,40944,234745.198,29965236.04578,0
2019-12-29 00:00:00,128.02,138.25,127.5,134.28,771614.663,1577663999999,102246841.95888,65386,401061.702,53141155.11708,0
2019-12-30 00:00:00,134.22,136.21,130.19,131.52,692165.824,1577750399999,91950597.9965,58885,334289.973,44408865.31064,0
2019-12-31 00:00:00,131.53,133.64,128.15,129.12,647743.359,1577836799999,84614091.61629,54948,313555.875,40963892.27704,0
