time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-11-16 04:40:42,91279.66,91279.66,91279.66,91279.66,0.00016,1731732042999,14.6047456,1,0.00016,14.6047456,0
2024-11-16 04:40:41,91275.88,91279.65,91275.88,91279.65,0.04592,1731732041999,4191.4293046,113,0.03668,3348.0053386,0
2024-11-16 04:40:40,91275.87,91275.88,91275.87,91275.87,0.02453,1731732040999,2238.9971233,8,0.00322,293.9083336,0
2024-11-16 04:40:39,91275.88,91275.88,91275.87,91275.88,0.37494,1731732039999,34222.9783742,7,0.36764,33556.6645232,0
2024-11-16 04:40:38,91276.0,91276.0,91275.87,91275.87,0.0133,1731732038999,1213.9702516,24,0.0,0.0,0
2024-11-16 04:40:37,91276.01,91276.01,91276.01,91276.01,0.0,1731732037999,0.0,0,0.0,0.0,0
2024-11-16 04:40:36,91276.01,91276.01,91276.0,91276.01,0.40181,1731732036999,36675.6135606,4,0.40006,36515.8805606,0
2024-11-16 04:40:35,91287.07,91287.08,91276.0,91276.0,1.71653,1731732035999,156694.0660308,214,0.0004,36.5138926,0
2024-11-16 04:40:34,91279.99,91287.08,91279.99,91287.07,0.39253,1731732034999,35831.3279385,127,0.30548,27885.3759934,0
2024-11-16 04:40:33,91279.99,91280.0,91279.99,91279.99,0.09879,1731732033999,9017.5502126,6,5e-05,4.564,0
2024-11-16 04:40:32,91272.73,91280.0,91272.73,91279.99,0.8588,1731732032999,78385.1222323,186,0.85679,78201.6494524,0
2024-11-16 04:40:31,91272.72,91272.73,91272.72,91272.72,0.00462,1731732031999,421.6799864,3,0.002,182.54546,0
2024-11-16 04:40:30,91269.6,91272.72,91269.6,91272.72,0.16958,1731732030999,15477.5938243,231,0.14944,13639.4230819,0
2024-11-16 04:40:29,91269.6,91269.6,91269.6,91269.6,0.00675,1731732029999,616.0698,2,0.0,0.0,0
2024-11-16 04:40:28,91264.86,91269.61,91264.85,91269.61,2.02638,1731732028999,184940.3237624,243,2.02551,184860.9233429,0
2024-11-16 04:40:27,91264.85,91264.86,91264.85,91264.86,0.00213,1731732027999,194.3941396,2,0.00091,83.0510226,0
2024-11-16 04:40:26,91264.85,91264.86,91264.85,91264.86,0.02017,1731732026999,1840.8120382,3,0.00137,125.0328582,0
2024-11-16 04:40:25,91264.85,91264.86,91264.85,91264.85,0.04442,1731732025999,4053.9846382,4,0.00012,10.9517832,0
2024-11-16 04:40:24,91264.86,91264.86,91264.85,91264.85,0.76403,1731732024999,69729.0909644,11,0.76189,69533.7841854,0
2024-11-16 04:40:23,91264.86,91264.86,91264.86,91264.86,0.0,1731732023999,0.0,0,0.0,0.0,0
2024-11-16 04:40:22,91264.86,91264.86,91264.85,91264.86,1.01461,1731732022999,92598.2370833,15,0.76248,69587.6304528,0
2024-11-16 04:40:21,91264.86,91264.86,91264.85,91264.85,0.00295,1731732021999,269.2313207,5,0.00132,120.4696152,0
2024-11-16 04:40:20,91264.85,91264.85,91264.85,91264.85,0.02388,1731732020999,2179.404618,4,0.0,0.0,0
2024-11-16 04:40:19,91263.99,91264.86,91263.99,91264.85,1.83307,1731732019999,167293.5513085,125,1.81496,165640.749691,0
2024-11-16 04:40:18,91263.99,91264.0,91263.99,91263.99,0.03575,1731732018999,3262.6877886,45,0.01461,1333.36704,0
2024-11-16 04:40:17,91264.0,91264.0,91264.0,91264.0,0.00369,1731732017999,336.76416,2,0.00369,336.76416,0
2024-11-16 04:40:16,91264.0,91264.0,91264.0,91264.0,0.00592,1731732016999,540.28288,3,0.00592,540.28288,0
2024-11-16 04:40:15,91259.79,91264.0,91259.79,91264.0,1.85819,1731732015999,169578.383504,140,1.85819,169578.383504,0
2024-11-16 04:40:14,91259.78,91259.78,91259.78,91259.78,0.00053,1731732014999,48.3676834,1,0.0,0.0,0
2024-11-16 04:40:13,91259.79,91259.79,91259.79,91259.79,0.00614,1731732013999,560.3351106,2,0.00614,560.3351106,0
2024-11-16 04:40:12,91259.79,91259.79,91259.78,91259.79,0.03551,1731732012999,3240.6351171,6,0.03293,3005.1848847,0
2024-11-16 04:40:11,91259.79,91259.79,91259.79,91259.79,0.5206,1731732011999,47509.846674,19,0.5206,47509.846674,0
2024-11-16 04:40:10,91259.78,91259.79,91259.78,91259.79,0.0194,1731732010999,1770.4397364,4,0.00044,40.1543076,0
2024-11-16 04:40:09,91259.79,91259.79,91259.79,91259.79,0.00212,1731732009999,193.4707548,1,0.00212,193.4707548,0
2024-11-16 04:40:08,91259.78,91259.79,91259.78,91259.79,0.01424,1731732008999,1299.5392721,2,0.00049,44.7172971,0
2024-11-16 04:40:07,91259.79,91259.79,91259.78,91259.78,0.02012,1731732007999,1836.146895,3,0.01214,1107.8938506,0
2024-11-16 04:40:06,91259.79,91259.79,91259.78,91259.78,0.03832,1731732006999,3497.0751355,6,0.03659,3339.1957161,0
2024-11-16 04:40:05,91242.42,91259.79,91242.42,91259.79,2.77048,1731732005999,252789.6365577,328,2.72114,248287.7355549,0
2024-11-16 04:40:04,91249.4,91249.4,91242.43,91242.43,0.4129,1731732004999,37675.0331429,201,0.0,0.0,0
2024-11-16 04:40:03,91249.41,91249.41,91249.4,91249.4,0.01453,1731732003999,1325.8537963,4,0.00143,130.4866563,0
2024-11-16 04:40:02,91249.4,91249.41,91249.4,91249.41,0.00126,1731732002999,114.9742451,2,0.00011,10.0374351,0
2024-11-16 04:40:01,91250.23,91250.24,91249.4,91249.4,0.10293,1731732001999,9392.371391,89,0.00274,250.0256576,0
2024-11-16 04:40:00,91259.78,91259.79,91250.53,91250.53,0.16501,1731732000999,15058.2126735,247,0.00094,85.7837602,0
2024-11-16 04:39:59,91259.78,91259.79,91259.78,91259.79,0.10115,1731731999999,9230.9267578,3,0.00108,98.5605732,0
2024-11-16 04:39:58,91259.79,91259.79,91259.79,91259.79,0.00047,1731731998999,42.8921013,1,0.00047,42.8921013,0
2024-11-16 04:39:57,91259.78,91259.79,91259.78,91259.79,0.00668,1731731997999,609.6153313,3,9e-05,8.2133811,0
2024-11-16 04:39:56,91259.78,91259.79,91259.78,91259.79,0.0015,1731731996999,136.8896761,2,0.00061,55.6684719,0
2024-11-16 04:39:55,91259.79,91259.79,91259.79,91259.79,0.00097,1731731995999,88.5219963,2,0.00097,88.5219963,0
2024-11-16 04:39:54,91259.79,91259.79,91259.79,91259.79,0.00363,1731731994999,331.2730377,3,0.00363,331.2730377,0
2024-11-16 04:39:53,91259.79,91259.79,91259.79,91259.79,0.0001,1731731993999,9.125979,1,0.0001,9.125979,0
2024-11-16 04:39:52,91259.79,91259.79,91259.79,91259.79,0.00011,1731731992999,10.0385769,1,0.00011,10.0385769,0
2024-11-16 04:39:51,91242.43,91259.79,91242.43,91259.79,0.3451,1731731991999,31488.5897827,483,0.3451,31488.5897827,0
2024-11-16 04:39:50,91242.43,91242.43,91242.42,91242.42,0.05119,1731731990999,4670.6996852,7,0.02054,1874.1195122,0
2024-11-16 04:39:49,91242.43,91242.43,91242.42,91242.42,0.01229,1731731989999,1121.3694184,2,0.00766,698.9170138,0
2024-11-16 04:39:48,91242.42,91242.43,91242.42,91242.43,0.02656,1731731988999,2423.3986804,6,0.00052,47.4460636,0
2024-11-16 04:39:47,91242.42,91242.43,91242.42,91242.42,0.00278,1731731987999,253.6539324,8,0.00048,43.7963664,0
2024-11-16 04:39:46,91223.34,91242.42,91223.34,91242.42,1.89871,1731731986999,173216.6471331,513,1.89071,172486.8144483,0
